"CubeId";"snbcurrc"
"PublishingDate";"2024-07-31 09:00"

"Date";"D0";"Value"
"1997-Q1";"T0";"21845"
"1997-Q1";"ICHF0";"31854"
"1997-Q1";"T1";
"1997-Q1";"ICHF1";"6420"
"1997-Q1";"T2";"162559"
"1997-Q1";"ICHF2";"1916"
"1997-Q1";"T3";"0"
"1997-Q1";"ICHF3";"0"
"1997-Q1";"T4";"0"
"1997-Q1";"ICHF4";"0"
"1997-Q1";"ICHF5";"0"
"1997-Q1";"ICHF6";"40190"
"1997-Q2";"T0";"22248"
"1997-Q2";"ICHF0";"32333"
"1997-Q2";"T1";
"1997-Q2";"ICHF1";"6368"
"1997-Q2";"T2";"162526"
"1997-Q2";"ICHF2";"2066"
"1997-Q2";"T3";"0"
"1997-Q2";"ICHF3";"0"
"1997-Q2";"T4";"0"
"1997-Q2";"ICHF4";"0"
"1997-Q2";"ICHF5";"0"
"1997-Q2";"ICHF6";"40767"
"1997-Q3";"T0";"21733"
"1997-Q3";"ICHF0";"31656"
"1997-Q3";"T1";
"1997-Q3";"ICHF1";"7337"
"1997-Q3";"T2";"162889"
"1997-Q3";"ICHF2";"1955"
"1997-Q3";"T3";"0"
"1997-Q3";"ICHF3";"0"
"1997-Q3";"T4";"0"
"1997-Q3";"ICHF4";"0"
"1997-Q3";"ICHF5";"0"
"1997-Q3";"ICHF6";"40948"
"1997-Q4";"T0";"20430"
"1997-Q4";"ICHF0";"29723"
"1997-Q4";"T1";
"1997-Q4";"ICHF1";"9423"
"1997-Q4";"T2";"162653"
"1997-Q4";"ICHF2";"1821"
"1997-Q4";"T3";"0"
"1997-Q4";"ICHF3";"0"
"1997-Q4";"T4";"0"
"1997-Q4";"ICHF4";"0"
"1997-Q4";"ICHF5";"0"
"1997-Q4";"ICHF6";"40967"
"1998-Q1";"T0";"18078"
"1998-Q1";"ICHF0";"27560"
"1998-Q1";"T1";
"1998-Q1";"ICHF1";"11473"
"1998-Q1";"T2";"212168"
"1998-Q1";"ICHF2";"2421"
"1998-Q1";"T3";"151"
"1998-Q1";"ICHF3";"385"
"1998-Q1";"T4";"0"
"1998-Q1";"ICHF4";"0"
"1998-Q1";"ICHF5";"0"
"1998-Q1";"ICHF6";"41839"
"1998-Q2";"T0";"16434"
"1998-Q2";"ICHF0";"25048"
"1998-Q2";"T1";
"1998-Q2";"ICHF1";"14506"
"1998-Q2";"T2";"216683"
"1998-Q2";"ICHF2";"2359"
"1998-Q2";"T3";"353"
"1998-Q2";"ICHF3";"897"
"1998-Q2";"T4";"0"
"1998-Q2";"ICHF4";"0"
"1998-Q2";"ICHF5";"224"
"1998-Q2";"ICHF6";"43034"
"1998-Q3";"T0";"16354"
"1998-Q3";"ICHF0";"22663"
"1998-Q3";"T1";
"1998-Q3";"ICHF1";"14395"
"1998-Q3";"T2";"220937"
"1998-Q3";"ICHF2";"2257"
"1998-Q3";"T3";"534"
"1998-Q3";"ICHF3";"1258"
"1998-Q3";"T4";"0"
"1998-Q3";"ICHF4";"0"
"1998-Q3";"ICHF5";"845"
"1998-Q3";"ICHF6";"41418"
"1998-Q4";"T0";"16424"
"1998-Q4";"ICHF0";"22621"
"1998-Q4";"T1";
"1998-Q4";"ICHF1";"16877"
"1998-Q4";"T2";"215346"
"1998-Q4";"ICHF2";"2608"
"1998-Q4";"T3";"726"
"1998-Q4";"ICHF3";"1657"
"1998-Q4";"T4";"0"
"1998-Q4";"ICHF4";"0"
"1998-Q4";"ICHF5";"1255"
"1998-Q4";"ICHF6";"45018"
"1999-Q1";"T0";"15638"
"1999-Q1";"ICHF0";"23262"
"1999-Q1";"T1";"10772"
"1999-Q1";"ICHF1";"17200"
"1999-Q1";"T2";"114320"
"1999-Q1";"ICHF2";"1419"
"1999-Q1";"T3";"733"
"1999-Q1";"ICHF3";"1753"
"1999-Q1";"T4";"0"
"1999-Q1";"ICHF4";"0"
"1999-Q1";"ICHF5";"1273"
"1999-Q1";"ICHF6";"44907"
"1999-Q2";"T0";"14731"
"1999-Q2";"ICHF0";"22819"
"1999-Q2";"T1";"11178"
"1999-Q2";"ICHF1";"17904"
"1999-Q2";"T2";"113722"
"1999-Q2";"ICHF2";"1455"
"1999-Q2";"T3";"729"
"1999-Q2";"ICHF3";"1777"
"1999-Q2";"T4";"320"
"1999-Q2";"ICHF4";"336"
"1999-Q2";"ICHF5";"1268"
"1999-Q2";"ICHF6";"45559"
"1999-Q3";"T0";"14552"
"1999-Q3";"ICHF0";"21769"
"1999-Q3";"T1";"12030"
"1999-Q3";"ICHF1";"19222"
"1999-Q3";"T2";"74721"
"1999-Q3";"ICHF2";"1056"
"1999-Q3";"T3";"724"
"1999-Q3";"ICHF3";"1784"
"1999-Q3";"T4";"856"
"1999-Q3";"ICHF4";"873"
"1999-Q3";"ICHF5";"1347"
"1999-Q3";"ICHF6";"46051"
"1999-Q4";"T0";"18243.6"
"1999-Q4";"ICHF0";"29153.230422"
"1999-Q4";"T1";"12503.2"
"1999-Q4";"ICHF1";"20078.821989"
"1999-Q4";"T2";"74856.8053683"
"1999-Q4";"ICHF2";"1171.73357443"
"1999-Q4";"T3";"735.6"
"1999-Q4";"ICHF3";"1901.000976"
"1999-Q4";"T4";"857.9"
"1999-Q4";"ICHF4";"944.071953"
"1999-Q4";"ICHF5";"1359.36768158"
"1999-Q4";"ICHF6";"54608.22659601"
"2000-Q1";"T0";"11841"
"2000-Q1";"ICHF0";"19686.784888"
"2000-Q1";"T1";"12557"
"2000-Q1";"ICHF1";"19988.204159"
"2000-Q1";"T2";"74825.25616072"
"2000-Q1";"ICHF2";"1183.43625144"
"2000-Q1";"T3";"1058.9"
"2000-Q1";"ICHF3";"2806.92502"
"2000-Q1";"T4";"1242"
"2000-Q1";"ICHF4";"1418.52172"
"2000-Q1";"ICHF5";"1749.44007212"
"2000-Q1";"ICHF6";"46833.31211056"
"2000-Q2";"T0";"11466.7"
"2000-Q2";"ICHF0";"18633.439329"
"2000-Q2";"T1";"13480.2"
"2000-Q2";"ICHF1";"21006.21656"
"2000-Q2";"T2";"116743.355923"
"2000-Q2";"ICHF2";"1798.40948735"
"2000-Q2";"T3";"954.8"
"2000-Q2";"ICHF3";"2346.870382"
"2000-Q2";"T4";"1311"
"2000-Q2";"ICHF4";"1436.962736"
"2000-Q2";"ICHF5";"1788.67469061"
"2000-Q2";"ICHF6";"47010.57318496"
"2000-Q3";"T0";"11849.2"
"2000-Q3";"ICHF0";"20499.083995"
"2000-Q3";"T1";"14062.4"
"2000-Q3";"ICHF1";"21438.176968"
"2000-Q3";"T2";"119553.24374759"
"2000-Q3";"ICHF2";"1919.18822188"
"2000-Q3";"T3";"1173.1"
"2000-Q3";"ICHF3";"2972.278672"
"2000-Q3";"T4";"1335"
"2000-Q3";"ICHF4";"1538.182916"
"2000-Q3";"ICHF5";"1416.50726075"
"2000-Q3";"ICHF6";"49783.41803363"
"2000-Q4";"T0";"12552.4"
"2000-Q4";"ICHF0";"20526.909022"
"2000-Q4";"T1";"14596.1"
"2000-Q4";"ICHF1";"22251.790973"
"2000-Q4";"T2";"120290.45301475"
"2000-Q4";"ICHF2";"1713.17663184"
"2000-Q4";"T3";"1201.7"
"2000-Q4";"ICHF3";"2939.800881"
"2000-Q4";"T4";"913.7"
"2000-Q4";"ICHF4";"995.958365"
"2000-Q4";"ICHF5";"2025.21197518"
"2000-Q4";"ICHF6";"50452.84784802"
"2001-Q1";"T0";"11056.1"
"2001-Q1";"ICHF0";"19099.337945"
"2001-Q1";"T1";"14894.4"
"2001-Q1";"ICHF1";"22736.286194"
"2001-Q1";"T2";"132855.91002025"
"2001-Q1";"ICHF2";"1832.74727873"
"2001-Q1";"T3";"1158.2"
"2001-Q1";"ICHF3";"2858.859409"
"2001-Q1";"T4";"925.5"
"2001-Q1";"ICHF4";"1015.746818"
"2001-Q1";"ICHF5";"1913.33951198"
"2001-Q1";"ICHF6";"49456.31715671"
"2001-Q2";"T0";"11361.2"
"2001-Q2";"ICHF0";"20404.674075"
"2001-Q2";"T1";"14696"
"2001-Q2";"ICHF1";"22358.452981"
"2001-Q2";"T2";"134149.910603"
"2001-Q2";"ICHF2";"1936.85640929"
"2001-Q2";"T3";"1172.3"
"2001-Q2";"ICHF3";"2962.499774"
"2001-Q2";"T4";"934.2"
"2001-Q2";"ICHF4";"1100.996216"
"2001-Q2";"ICHF5";"1910.49865805"
"2001-Q2";"ICHF6";"50673.97811334"
"2001-Q3";"T0";"12787.3"
"2001-Q3";"ICHF0";"20629.769846"
"2001-Q3";"T1";"14674.2"
"2001-Q3";"ICHF1";"21667.942581"
"2001-Q3";"T2";"106725.29713"
"2001-Q3";"ICHF2";"1443.77981957"
"2001-Q3";"T3";"1165"
"2001-Q3";"ICHF3";"2762.610871"
"2001-Q3";"T4";"931.6"
"2001-Q3";"ICHF4";"953.020604"
"2001-Q3";"ICHF5";"1946.01791724"
"2001-Q3";"ICHF6";"49403.14163881"
"2001-Q4";"T0";"12368"
"2001-Q4";"ICHF0";"20756.069213"
"2001-Q4";"T1";"15652.9"
"2001-Q4";"ICHF1";"23186.648946"
"2001-Q4";"T2";"61174.051946"
"2001-Q4";"ICHF2";"781.43733956"
"2001-Q4";"T3";"1217"
"2001-Q4";"ICHF3";"2957.699417"
"2001-Q4";"T4";"956.2"
"2001-Q4";"ICHF4";"1004.592595"
"2001-Q4";"ICHF5";"1894.38801708"
"2001-Q4";"ICHF6";"50580.83552764"
"2002-Q1";"T0";"13201.8"
"2002-Q1";"ICHF0";"22186.926972"
"2002-Q1";"T1";"15768"
"2002-Q1";"ICHF1";"23109.609775"
"2002-Q1";"T2";"116.07992"
"2002-Q1";"ICHF2";"1.47142907"
"2002-Q1";"T3";"1219.8"
"2002-Q1";"ICHF3";"2918.407551"
"2002-Q1";"T4";"988.3"
"2002-Q1";"ICHF4";"1042.988912"
"2002-Q1";"ICHF5";"1871.20037834"
"2002-Q1";"ICHF6";"51130.60501741"
"2002-Q2";"T0";"12755.2"
"2002-Q2";"ICHF0";"18922.346727"
"2002-Q2";"T1";"16726.8"
"2002-Q2";"ICHF1";"24630.264098"
"2002-Q2";"T2";"110.989621"
"2002-Q2";"ICHF2";"1.38182078"
"2002-Q2";"T3";"1263.7"
"2002-Q2";"ICHF3";"2871.213619"
"2002-Q2";"T4";"1037.7"
"2002-Q2";"ICHF4";"1019.879512"
"2002-Q2";"ICHF5";"1963.86282055"
"2002-Q2";"ICHF6";"49408.94859733"
"2002-Q3";"T0";"14183.3"
"2002-Q3";"ICHF0";"21111.869154"
"2002-Q3";"T1";"17309.1"
"2002-Q3";"ICHF1";"25335.366632"
"2002-Q3";"T2";"83.607341"
"2002-Q3";"ICHF2";"1.02218335"
"2002-Q3";"T3";"1414.9"
"2002-Q3";"ICHF3";"3292.444773"
"2002-Q3";"T4";"1083.1"
"2002-Q3";"ICHF4";"1022.365057"
"2002-Q3";"ICHF5";"2103.90916204"
"2002-Q3";"ICHF6";"52866.97696139"
"2002-Q4";"T0";"14959.911349"
"2002-Q4";"ICHF0";"20752.389024"
"2002-Q4";"T1";"17873.971782"
"2002-Q4";"ICHF1";"25961.944014"
"2002-Q4";"T2";"84.487811"
"2002-Q4";"ICHF2";"0.98766251"
"2002-Q4";"T3";"1387.508195"
"2002-Q4";"ICHF3";"3097.334545"
"2002-Q4";"T4";"1138.603308"
"2002-Q4";"ICHF4";"1001.970911"
"2002-Q4";"ICHF5";"2126.55854599"
"2002-Q4";"ICHF6";"52941.1847025"
"2003-Q1";"T0";"15347.714995"
"2003-Q1";"ICHF0";"20842.196963"
"2003-Q1";"T1";"18113.246135"
"2003-Q1";"ICHF1";"26744.207919"
"2003-Q1";"T2";"60.148661"
"2003-Q1";"ICHF2";"0.6873789"
"2003-Q1";"T3";"1329.728482"
"2003-Q1";"ICHF3";"2844.954088"
"2003-Q1";"T4";"1098.953626"
"2003-Q1";"ICHF4";"1016.86179"
"2003-Q1";"ICHF5";"2128.77544856"
"2003-Q1";"ICHF6";"53577.68358746"
"2003-Q2";"T0";"15697.07747"
"2003-Q2";"ICHF0";"21286.806757"
"2003-Q2";"T1";"18237.822944"
"2003-Q2";"ICHF1";"28301.453645"
"2003-Q2";"T2";"22.300261"
"2003-Q2";"ICHF2";"0.25239435"
"2003-Q2";"T3";"1386.46673"
"2003-Q2";"ICHF3";"3100.000963"
"2003-Q2";"T4";"1174.929367"
"2003-Q2";"ICHF4";"1180.686521"
"2003-Q2";"ICHF5";"2328.74089031"
"2003-Q2";"ICHF6";"56197.94117066"
"2003-Q3";"T0";"15742.903853"
"2003-Q3";"ICHF0";"20768.038763"
"2003-Q3";"T1";"18613.313798"
"2003-Q3";"ICHF1";"28632.860616"
"2003-Q3";"T2";"25.294875"
"2003-Q3";"ICHF2";"0.30219787"
"2003-Q3";"T3";"1485.61319"
"2003-Q3";"ICHF3";"3280.679608"
"2003-Q3";"T4";"1179.164236"
"2003-Q3";"ICHF4";"1155.109286"
"2003-Q3";"ICHF5";"2330.12430834"
"2003-Q3";"ICHF6";"56167.11477921"
"2003-Q4";"T0";"16509.710633"
"2003-Q4";"ICHF0";"20406.002343"
"2003-Q4";"T1";"18811.909678"
"2003-Q4";"ICHF1";"29320.242424"
"2003-Q4";"T2";"18.283645"
"2003-Q4";"ICHF2";"0.21124923"
"2003-Q4";"T3";"1396.821507"
"2003-Q4";"ICHF3";"3078.594603"
"2003-Q4";"T4";"1195.376768"
"2003-Q4";"ICHF4";"1144.214643"
"2003-Q4";"ICHF5";"2362.4644513"
"2003-Q4";"ICHF6";"56311.72971353"
"2004-Q1";"T0";"18027.2518233"
"2004-Q1";"ICHF0";"20405.04633879"
"2004-Q1";"T1";"18699.30836763"
"2004-Q1";"ICHF1";"28854.90274209"
"2004-Q1";"T2";"22.352812"
"2004-Q1";"ICHF2";"0.24661857"
"2004-Q1";"T3";"3181.29396319"
"2004-Q1";"ICHF3";"6944.76472164"
"2004-Q1";"T4";"1459.0217141"
"2004-Q1";"ICHF4";"1371.7722156"
"2004-Q1";"ICHF5";"3131.2926739"
"2004-Q1";"ICHF6";"60708.02531059"
"2004-Q2";"T0";"17089.94952343"
"2004-Q2";"ICHF0";"21553.84433895"
"2004-Q2";"T1";"19157.78921933"
"2004-Q2";"ICHF1";"29275.01770606"
"2004-Q2";"T2";"25.748336"
"2004-Q2";"ICHF2";"0.29834597"
"2004-Q2";"T3";"1343.87196657"
"2004-Q2";"ICHF3";"3062.14666303"
"2004-Q2";"T4";"1201.41369536"
"2004-Q2";"ICHF4";"1123.80237064"
"2004-Q2";"ICHF5";"2259.49385285"
"2004-Q2";"ICHF6";"57274.6032775"
"2004-Q3";"T0";"16445.78197424"
"2004-Q3";"ICHF0";"20729.90817853"
"2004-Q3";"T1";"18492.6487252"
"2004-Q3";"ICHF1";"28728.3297946"
"2004-Q3";"T2";"28.904753"
"2004-Q3";"ICHF2";"0.32832909"
"2004-Q3";"T3";"3070.61670162"
"2004-Q3";"ICHF3";"6955.25389084"
"2004-Q3";"T4";"1375.28721854"
"2004-Q3";"ICHF4";"1362.35951869"
"2004-Q3";"ICHF5";"3022.18996893"
"2004-Q3";"ICHF6";"60798.36968068"
"2004-Q4";"T0";"18027.2518233"
"2004-Q4";"ICHF0";"20405.04633879"
"2004-Q4";"T1";"18699.30836763"
"2004-Q4";"ICHF1";"28854.90274209"
"2004-Q4";"T2";"22.352812"
"2004-Q4";"ICHF2";"0.24661857"
"2004-Q4";"T3";"3181.29396319"
"2004-Q4";"ICHF3";"6944.76472164"
"2004-Q4";"T4";"1459.0217141"
"2004-Q4";"ICHF4";"1371.7722156"
"2004-Q4";"ICHF5";"3131.2926739"
"2004-Q4";"ICHF6";"60708.02531059"
"2005-Q1";"T0";"19063.35246308"
"2005-Q1";"ICHF0";"22799.76954584"
"2005-Q1";"T1";"19259.05325378"
"2005-Q1";"ICHF1";"29851.53254336"
"2005-Q1";"T2";"54001.541452"
"2005-Q1";"ICHF2";"604.00724114"
"2005-Q1";"T3";"2696.86398458"
"2005-Q1";"ICHF3";"6064.43804213"
"2005-Q1";"T4";"1416.53350318"
"2005-Q1";"ICHF4";"1395.14384728"
"2005-Q1";"ICHF5";"3071.32803895"
"2005-Q1";"ICHF6";"63786.2192587"
"2005-Q2";"T0";"14073.81083975"
"2005-Q2";"ICHF0";"18059.51406957"
"2005-Q2";"T1";"14243.48976205"
"2005-Q2";"ICHF1";"22061.74129244"
"2005-Q2";"T2";"56455.456204"
"2005-Q2";"ICHF2";"655.67366835"
"2005-Q2";"T3";"2082.75203493"
"2005-Q2";"ICHF3";"4814.90615435"
"2005-Q2";"T4";"1007.69765002"
"2005-Q2";"ICHF4";"1050.92787921"
"2005-Q2";"ICHF5";"2150.85926575"
"2005-Q2";"ICHF6";"48793.62232967"
"2005-Q3";"T0";"12429.68215075"
"2005-Q3";"ICHF0";"16086.4946395"
"2005-Q3";"T1";"13605.4733467"
"2005-Q3";"ICHF1";"21164.67433813"
"2005-Q3";"T2";"70960.48034"
"2005-Q3";"ICHF2";"810.36868548"
"2005-Q3";"T3";"1978.98520314"
"2005-Q3";"ICHF3";"4501.99343862"
"2005-Q3";"T4";"914.90560769"
"2005-Q3";"ICHF4";"1011.61113042"
"2005-Q3";"ICHF5";"2008.61374553"
"2005-Q3";"ICHF6";"45583.75597768"
"2005-Q4";"T0";"12379.69658751"
"2005-Q4";"ICHF0";"16281.77695189"
"2005-Q4";"T1";"13861.71637619"
"2005-Q4";"ICHF1";"21570.21685299"
"2005-Q4";"T2";"77491.68819"
"2005-Q4";"ICHF2";"867.51944929"
"2005-Q4";"T3";"2123.19452959"
"2005-Q4";"ICHF3";"4816.89142928"
"2005-Q4";"T4";"923.46805746"
"2005-Q4";"ICHF4";"1045.73522827"
"2005-Q4";"ICHF5";"2003.31725923"
"2005-Q4";"ICHF6";"46585.45717095"
"2006-Q1";"T0";"12165.25442204"
"2006-Q1";"ICHF0";"15879.30659709"
"2006-Q1";"T1";"13580.2076183"
"2006-Q1";"ICHF1";"21460.8020992"
"2006-Q1";"T2";"129070.569887"
"2006-Q1";"ICHF2";"1429.4565615"
"2006-Q1";"T3";"1972.61221034"
"2006-Q1";"ICHF3";"4473.29270939"
"2006-Q1";"T4";"954.31126179"
"2006-Q1";"ICHF4";"1068.73318208"
"2006-Q1";"ICHF5";"1241.1564065"
"2006-Q1";"ICHF6";"45552.74755576"
"2006-Q2";"T0";"12413.286871"
"2006-Q2";"ICHF0";"15238.550963"
"2006-Q2";"T1";"13128.905717"
"2006-Q2";"ICHF1";"20584.811274"
"2006-Q2";"T2";"123640.316125"
"2006-Q2";"ICHF2";"1328.391556"
"2006-Q2";"T3";"1949.453993"
"2006-Q2";"ICHF3";"4416.488022"
"2006-Q2";"T4";"899.469408"
"2006-Q2";"ICHF4";"995.2629"
"2006-Q2";"ICHF5";"1221.84779247"
"2006-Q2";"ICHF6";"43785.35250747"
"2006-Q3";"T0";"12042.79352556"
"2006-Q3";"ICHF0";"15108.88875716"
"2006-Q3";"T1";"13410.12846597"
"2006-Q3";"ICHF1";"21291.26096542"
"2006-Q3";"T2";"208277.48297"
"2006-Q3";"ICHF2";"2212.53170159"
"2006-Q3";"T3";"1907.7440536"
"2006-Q3";"ICHF3";"4465.07495745"
"2006-Q3";"T4";"927.91293645"
"2006-Q3";"ICHF4";"1040.65435823"
"2006-Q3";"ICHF5";"1281.59634079"
"2006-Q3";"ICHF6";"45400.00708064"
"2006-Q4";"T0";"12259.8062846"
"2006-Q4";"ICHF0";"14959.41562847"
"2006-Q4";"T1";"13325.69577783"
"2006-Q4";"ICHF1";"21435.71422822"
"2006-Q4";"T2";"224427.813974"
"2006-Q4";"ICHF2";"2300.60952105"
"2006-Q4";"T3";"1918.90168425"
"2006-Q4";"ICHF3";"4588.28581721"
"2006-Q4";"T4";"955.59054644"
"2006-Q4";"ICHF4";"1003.56119187"
"2006-Q4";"ICHF5";"1304.33465111"
"2006-Q4";"ICHF6";"45591.92103793"
"2007-Q1";"T0";"11450.711395"
"2007-Q1";"ICHF0";"13983.608755"
"2007-Q1";"T1";"13292.11257"
"2007-Q1";"ICHF1";"21606.328982"
